| Communications | Afghanistan |
| --- | --- |
| Telephones - main lines in use: | 140,000 (2010) |
| Telephones - mobile cellular: | 13 million (2010) |
| Telephone system: | general assessment: limited fixed-line telephone service; an increasing number of Afghans utilize mobile-cellular phone networks |
| Telephone system: | domestic: aided by the presence of multiple providers, mobile-cellular telephone service continues to improve rapidly |
| Telephone system: | international: country code - 93; multiple VSAT's provide international and domestic voice and data connectivity (2009) |
| Broadcast media: | state-owned broadcaster, Radio Television Afghanistan (RTA), operates a series of radio and television stations in Kabul and the provinces; an estimated 175 private radio stations, 8 TV networks, and about a dozen international broadcasters are available (2010) |
| Internet country code: | .af |
| Internet hosts: | 46 (2010) |
| Internet users: | 1 million (2009) |
| Communications - note: | Internet access is growing through Internet cafes as well as public "telekiosks" in Kabul (2005) |
