| Communications | Afghanistan |
| --- | --- |
| Telephones - main lines in use: | 280,000 (2005) |
| Telephones - mobile cellular: | 2.52 million (2006) |
| Telephone system: | general assessment: very limited telephone and telegraph service; many Afghans utilize growing cellular phone coverage in major cities |
| Telephone system: | domestic: telephone service is improving with the licensing of several wireless telephone service providers in 2005 and 2006; approximately 8 in 100 Afghans own a wireless telephone; telephone main lines remain limited |
| Telephone system: | international: country code - 93; five VSAT's installed in Kabul, Herat, Mazar-e-Sharif, Kandahar, and Jalalabad provide international and domestic voice and data connectivity (2007) |
| Radio broadcast stations: | AM 21, FM 5, shortwave 1 (broadcasts in Pashtu, Afghan Persian (Dari), Urdu, and English) (2006) |
| Radios: | 167,000 (1999) |
| Television broadcast stations: | at least 7 (1 government-run central television station in Kabul and regional stations in 6 of the 34 provinces) (2006) |
| Televisions: | 100,000 (1999) |
| Internet country code: | .af |
| Internet hosts: | 21 (2007) |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | 535,000 (2006) |
| Communications - note: | Internet access is growing through Internet cafes as well as public "telekiosks" in Kabul (2005) |
