| Communications | GUINEA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 18,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2011 est.) |
| Telephones - mobile cellular: | total: 10.764 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91 (July 2015 est.) |
| Telephone system: | general assessment: inadequate system of open-wire lines, small radiotelephone communication stations, and new microwave radio relay system |
| Telephone system: | domestic: Conakry reasonably well-served; coverage elsewhere remains inadequate but is improving; fixed-line teledensity less than 1 per 100 persons; mobile-cellular subscribership is expanding rapidly and exceeds 90 per 100 persons |
| Telephone system: | international: country code - 224; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | government maintains marginal control over broadcast media; single state-run TV station; state-run radio broadcast station also operates several stations in rural areas; a steadily increasing number of privately owned radio stations, nearly all in Conakry, and about a dozen community radio stations; foreign TV programming available via satellite and cable subscription services (2011) |
| Internet country code: | .gn |
| Internet users: | total: 554,000 |
| Internet users: | percent of population: 4.7% (July 2015 est.) |
