| Communications | ECUADOR |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,441,173 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15 (July 2016 est.) |
| Telephones - mobile cellular: | total: 13,882,280 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 86 (July 2016 est.) |
| Telephone system: | general assessment: elementary fixed-line service but increasingly sophisticated mobile-cellular network |
| Telephone system: | domestic: fixed-line services provided by multiple telecommunications operators; fixed-line teledensity stands at about 15 per 100 persons; mobile-cellular use has surged and subscribership has reached 85 per 100 persons |
| Telephone system: | international: country code - 593; landing points for the PAN-AM and South America-1 submarine cables that provide links to the west coast of South America, Panama, Colombia, Venezuela, and extending onward to Aruba and the US Virgin Islands in the Caribbean; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | multiple TV networks and many local channels, as well as more than 300 radio stations; many TV and radio stations are privately owned; the government owns or controls 5 national TV stations and multiple radio stations; broadcast media required by law to give the government free air time to broadcast programs produced by the state (2007) |
| Internet country code: | .ec |
| Internet users: | total: 8,693,739 |
| Internet users: | percent of population: 54.1% (July 2016 est.) |
