| Communications | Ecuador |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,111,291 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12.64 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 15,241,719 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91.25 (2019 est.) |
| Telecommunication systems: | general assessment: much of the country's fixed-line structure isÂ influenced by topographical challenges associated with the Andes Mountains; Ecuador has a small telecom market with a dominant mobile sector;Â the state-owned incumbent CNT dominates the fixed-line market, and thereforeÂ the DSL broadband market as well; mobile broadband market growing and expanding LTE services (2020) |
| Telecommunication systems: | domestic: fixed-line services with digital networks provided by multiple telecommunications operators; fixed-line teledensity stands at about 13 per 100 persons and mobile-cellular use has surged and subscribership has reached 91 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 593; landing points for the PAN-AM, PCCS, America Movil-Telxius WestÂ CoastÂ CableÂ and SAm-1 submarine cables that provide links to South and Central America, and extending onward toÂ the CaribbeanÂ and the US;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | about 60 media outlets are recognized as national; the Ecuadorian Government controls 12 national outlets and multiple radio stations; there are multiple TV networks and many local channels, as well as more than 300 radio stations; many TV and radio stations are privately owned; broadcast media is required by law to give the government free airtime to broadcast programs produced by the state; the Ecuadorian Government is the biggest advertiser and grants advertising contracts to outlets that provide favorable coverage; anÂ antimonopoly law and communication law limit ownership and investment in the media by non-media businesses (2019) |
| Internet country code: | .ec |
| Internet users: | total: 9,448,692 |
| Internet users: | percent of population: 57.27% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,953,607 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2018 est.) |
