| Communications | Singapore |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,003,594 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 32.83 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 9,543,773 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 156.38 (2019 est.) |
| Telecommunication systems: | general assessment: excellent service; world leader in telecommunications and perhaps the first 'Smart Nation' where a sensor network is implemented, for water and air, smart logistics and smart sensor in the home of elderly or chronically ill;Â roll out of 4G and 5G networks to ensure faster speeds; wireless and fiber broadband growing segments of telecommunications; roll out of 'Next Generation Network' (NGNBN) almost complete with FttH and wireless networkÂ fiber based services; mobile sector saturated, but with mobile operators competing toÂ offer more to the consumer such as value-added services; 4 MNVO; demand for data storage in Singapore (2020) |
| Telecommunication systems: | domestic: excellent domestic facilities; fixed-line 33 per 100 and mobile-cellular 156 per 100 teledensity; multiple providers of high-speed Internet connectivity (2019) |
| Telecommunication systems: | international: country code - 65; landing points for INDIGO-West, SeaMeWe -3,-4,-5, SIGMAR, SJC, i2icn,Â PGASCOM, BSCS,Â IGG,Â B3JS, SAEx2, APCN-2, APG, ASC, SEAX-1, ASE, EAC-C2C, Matrix Cable System and SJC2 submarine cables providing links throughout Asia, Southeast Asia, Africa, Australia, the Middle East, and Europe; satellite earth stations - 3, Bukit Timah, Seletar, and Sentosa; supplemented by VSAT coverage (2019 ) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state controls broadcast media;Â 6 domestic TV stations operated by MediaCorp which is wholly owned by a state investment company; broadcasts from Malaysian and Indonesian stations available; satellite dishes banned; multi-channel cable TV services available; a total of 19 domestic radio stations broadcasting, with MediaCorp operating 11, Singapore Press Holdings, also government-linked, another 5,Â 2 controlled by the Singapore Armed Forces Reservists Association and one owned by BBC Radio; Malaysian and Indonesian radio stations are available as is BBC; a number of Internet service radio stations are also available (2019) |
| Internet country code: | .sg |
| Internet users: | total: 5,286,665 |
| Internet users: | percent of population: 88.17% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,610,500 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 27 (2018 est.) |
