| Communications | SINGAPORE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,021,500 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 36 (July 2015 est.) |
| Telephones - mobile cellular: | total: 8.211 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 145 (July 2015 est.) |
| Telephone system: | general assessment: excellent service |
| Telephone system: | domestic: excellent domestic facilities; combined fixed-line and mobile-cellular teledensity more than 180 telephones per 100 persons; multiple providers of high-speed Internet connectivity |
| Telephone system: | international: country code - 65; numerous submarine cables provide links throughout Asia, Australia, the Middle East, Europe, and US; satellite earth stations - 4; supplemented by VSAT coverage (2015) |
| Broadcast media: | state controls broadcast media; 8 domestic TV stations operated by MediaCorp which is wholly owned by a state investment company; broadcasts from Malaysian and Indonesian stations available; satellite dishes banned; multi-channel cable TV service available; a total of 18 domestic radio stations broadcasting with MediaCorp operating more than a dozen and another 4 stations are closely linked to the ruling party or controlled by the Singapore Armed Forces Reservists Association; many Malaysian and Indonesian radio stations are available |
| Internet country code: | .sg |
| Internet users: | total: 4.659 million |
| Internet users: | percent of population: 82.1% (July 2015 est.) |
