| Communications | JERSEY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 83,900 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 95 (2014 est.) |
| Telephones - mobile cellular: | total: 83,900 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (2004) |
| Telephone system: | general assessment: increasingly modern system, with broadband access |
| Telephone system: | domestic: digital telephone system launch announced in 2006 now implemented; fixed-line and mobile-cellular services widely available; combined fixed-line and mobile-cellular density exceeds 100 per 100 persons |
| Telephone system: | international: country code - 44; submarine cable connectivity to Guernsey, the UK, and France (2010) |
| Broadcast media: | multiple UK terrestrial television broadcasts are received via a transmitter in Jersey; satellite packages available; BBC Radio Jersey and 1 other radio station operating (2009) |
| Radio broadcast stations: | AM NA, FM 1, shortwave 0 (UK radio broadcasts carried via local relays) (2008) |
| Television broadcast stations: | 2 (UK television carried by local relays with a switch to digital broadcasts scheduled for 2010) (2008) |
| Internet country code: | .je |
| Internet users: | total: 29,500 |
| Internet users: | percent of population: 31.9% (2009) |
