| Communications | Papua New Guinea |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 154,000 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 3.782 million (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 55 (July 2016 est.) |
| Telephone system: | general assessment: services are minimal; facilities provide radiotelephone and telegraph, coastal radio, aeronautical radio, and international radio communication services (2016) |
| Telephone system: | domestic: access to telephone services is not widely available although combined fixed-line and mobile-cellular teledensity has increased to roughly 55 per 100 persons (2016) |
| Telephone system: | international: country code - 675; submarine cables to Australia and Guam; satellite earth station - 1 Intelsat (Pacific Ocean); international radio communication service (2016) |
| Broadcast media: | 4 TV stations: 1 commercial station operating since 1987, 1 state-run station launched in 2008, 1 digital free-to-view network launched in 2014, and 1 satellite network Click TV (PNGTV) launched in 2015; the state-run National Broadcasting Corporation operates 3 radio networks with multiple repeaters and about 20 provincial stations; several commercial radio stations with multiple transmission points as well as several community stations; transmissions of several international broadcasters are accessible (2018) |
| Internet country code: | .pg |
| Internet users: | total: 652,071 (July 2016 est.) |
| Internet users: | percent of population: 9.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 17,000 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
