| Communications | Papua New Guinea |
| --- | --- |
| Telephones - main lines in use: | 139,000 (2012) |
| Telephones - mobile cellular: | 2.709 million (2012) |
| Telephone system: | general assessment: services are minimal; facilities provide radiotelephone and telegraph, coastal radio, aeronautical radio, and international radio communication services |
| Telephone system: | domestic: access to telephone services is not widely available although combined fixed-line and mobile-cellular teledensity has increased to roughly 40 per 100 persons |
| Telephone system: | international: country code - 675; submarine cables to Australia and Guam; satellite earth station - 1 Intelsat (Pacific Ocean); international radio communication service (2009) |
| Broadcast media: | 2 TV stations, 1 commercial station operating since the late 1980s and 1 state-run station launched in 2008; satellite and cable TV services are available; state-run National Broadcasting Corporation operates 3 radio networks with multiple repeaters and about 20 provincial stations; several commercial radio stations with multiple transmission points as well as several community stations; transmissions of several international broadcasters are accessible (2009) |
| Internet country code: | .pg |
| Internet hosts: | 5,006 (2012) |
| Internet users: | 125,000 (2009) |
