| Communications | Papua New Guinea |
| --- | --- |
| Telephones - main lines in use: | 60,000 (2009) |
| Telephones - mobile cellular: | 900,000 (2009) |
| Telephone system: | general assessment: services are minimal; facilities provide radiotelephone and telegraph, coastal radio, aeronautical radio, and international radio communication services |
| Telephone system: | domestic: access to telephone services is not widely available; combined fixed-line and mobile-cellular teledensity is about 15 per 100 persons |
| Telephone system: | international: country code - 675; submarine cables to Australia and Guam; satellite earth station - 1 Intelsat (Pacific Ocean); international radio communication service (2009) |
| Broadcast media: | 2 television stations, 1 commercial station operating since the late 1980s and 1 state-run station launched in 2008; satellite and cable TV services are available; state-run National Broadcasting Corporation operates 3 radio networks with multiple repeaters and about 20 provincial stations; several commercial radio stations with multiple transmission points as well as several community stations; transmissions of several international broadcasters are accessible (2009) |
| Internet country code: | .pg |
| Internet hosts: | 4,285 (2010) |
| Internet users: | 125,000 (2009) |
