| Communications | Palau |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,808 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 40.78 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 29,033 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 134.41 (2019 est.) |
| Telecommunication systems: | general assessment: well-developed mobile sector, recently boosted by satellite network capacity upgrades; 3G services available with satellite; lack of telecom regulations; newest and most powerful commercial satellite, Kacific-1 satellite, launched in 2019 to improve telecommunications in the Asia Pacific region (2020) |
| Telecommunication systems: | domestic: fixed-line 41 per 100 and mobile-cellular services 134 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 680; landing point for the SEA-US submarine cable linking Palau, Philippines, Micronesia, Indonesia, Hawaii (US), Guam (US) andÂ California (US); satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | no broadcast TV stations; a cable TV network covers the major islands and provides access to 4 local cable stations, rebroadcasts (on a delayed basis) of a number of US stations, as well as access to a number of real-time satellite TV channels; about a half dozen radio stations (1 government-owned) (2019) |
| Internet country code: | .pw |
| Internet users: | total: 7,650 |
| Internet users: | percent of population: 36% (July 2016 est.) |
