| Communications | Palau |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,204 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 24,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 112 (July 2016 est.) |
| Telephone system: | general assessment: well-developed mobile sector recently boosted by satellite network capacity upgrades; 3G services available with satellite; lack of telecom regulations; (2018) |
| Telephone system: | domestic: fixed-lineÂ  34 per 100 and mobile-cellular services 112 per 100 persons (2018) |
| Telephone system: | international: country code - 680; landing point for the SEA-US submarine cable linking Palau, Philippines, Micronesia, Indonesia, Hawaii (US), Guam (US) andÂ California (US); satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Broadcast media: | no broadcast TV stations; a cable TV network covers the major islands and provides access to 4 local cable stations, rebroadcasts (on a delayed basis) of a number of US stations, as well as access to a number of real-time satellite TV channels; about a half dozen radio stations (1 government-owned) (2019) |
| Internet country code: | .pw |
| Internet users: | total: 7,650 |
| Internet users: | percent of population: 36% (July 2016 est.) |
