| Communications | Palau |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,204 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 24,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 112 (July 2016 est.) |
| Telephone system: | general assessment: well-developed mobile sector recently boosted by satellite network capacity upgrades (2016) |
| Telephone system: | domestic: fixed-line and mobile-cellular services available with a combined subscribership of over 140 per 100 persons (2016) |
| Telephone system: | international: country code - 680; satellite earth station - 1 Intelsat (Pacific Ocean) (2016) |
| Broadcast media: | no broadcast TV stations; a cable TV network covers the major islands and provides access to 4 local cable stations, rebroadcasts (on a delayed basis) of a number of US stations, as well as access to a number of real-time satellite TV channels; about a half dozen radio stations (1 government-owned) (2017) |
| Internet country code: | .pw |
| Internet users: | total: 7,650 (July 2016 est.) |
| Internet users: | percent of population: 36% (July 2016 est.) |
