| Communications | Norway |
| --- | --- |
| Telephones - main lines in use: | 1.928 million (2008) |
| Telephones - mobile cellular: | 5.287 million (2008) |
| Telephone system: | general assessment: modern in all respects; one of the most advanced telecommunications networks in Europe |
| Telephone system: | domestic: Norway has a domestic satellite system; moreover, the prevalence of rural areas encourages the wide use of cellular-mobile systems instead of fixed-wire systems |
| Telephone system: | international: country code - 47; 2 buried coaxial cable systems; submarine cables provide links to other Nordic countries and Europe; satellite earth stations - NA Eutelsat, NA Intelsat (Atlantic Ocean), and 1 Inmarsat (Atlantic and Indian Ocean regions); note - Norway shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Iceland, and Sweden) (1999) |
| Radio broadcast stations: | AM 5, FM 160, shortwave 1 (2008) |
| Television broadcast stations: | 69 (2008) |
| Internet country code: | .no |
| Internet hosts: | 3.198 million (2009) |
| Internet users: | 3.935 million (2008) |
