| Communications | Qatar |
| --- | --- |
| Telephones - main lines in use: | 285,300 (2009) |
| Telephones - mobile cellular: | 2.472 million (2009) |
| Telephone system: | general assessment: modern system centered in Doha |
| Telephone system: | domestic: combined fixed and mobile-cellular telephone subscribership exceeds 300 telephones per 100 persons |
| Telephone system: | international: country code - 974; landing point for the Fiber-Optic Link Around the Globe (FLAG) submarine cable network that provides links to Asia, Middle East, Europe, and the US; tropospheric scatter to Bahrain; microwave radio relay to Saudi Arabia and the UAE; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Arabsat (2009) |
| Broadcast media: | television and radio broadcast media are state controlled; home of the satellite TV channel Al-Jazeera, which was originally owned and financed by the Qatari Government; Al-Jazeera claims editorial independence in broadcasting; transmissions of several international broadcasters are accessible on FM in Doha (2007) |
| Internet country code: | .qa |
| Internet hosts: | 822 (2010) |
| Internet users: | 563,800 (2009) |
