| Communications | Korea, North |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,183,806 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.64 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,821,857 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 14.98 (2019 est.) |
| Telecommunication systems: | general assessment: nationwide fiber-optic network; mobile-cellular service expanded beyond Pyongyang; infrastructure underdeveloped yet growing mobile penetrationÂ by means of foreign investment; Chinese services being increasingly favored and FaceBook and Instagram actionsÂ dropped and now absent; low broadband penetration; mobile penetration in North Korea believed to stay well below other Asian nations due to government restrictions; 3G network deployed among universal population (2020) |
| Telecommunication systems: | domestic: fiber-optic links installed down to the county level; telephone directories unavailable; mobile service launched in late 2008 for the Pyongyang area and considerable progress in expanding to other parts of the country since; fixed-lines are 5 per 100 and mobile-cellular 15 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 850; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Russian - Indian Ocean region); other international connections through Moscow and Beijing |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | no independent media; radios and TVs are pre-tuned to government stations; 4 government-owned TV stations; the Korean Workers' Party owns and operates the Korean Central Broadcasting Station, and the state-run Voice of Korea operates an external broadcast service; the government prohibits listening to and jams foreign broadcasts (2019) |
| Internet country code: | .kp |
