| Communications | KOREA, NORTH |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.18 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (July 2015 est.) |
| Telephones - mobile cellular: | total: 3.24 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 13 (July 2015 est.) |
| Telephone system: | general assessment: adequate system; nationwide fiber-optic network; mobile-cellular service expanding beyond Pyongyang |
| Telephone system: | domestic: fiber-optic links installed down to the county level; telephone directories unavailable; Orascom Telecom Holding, an Egyptian company that launched mobile service in late 2008 for the Pyongyang area and made considerable progress in expanding to other parts of the country, had lost control of its operations by the end of 2015 |
| Telephone system: | international: country code - 850; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Russian - Indian Ocean region); other international connections through Moscow and Beijing (2015) |
| Broadcast media: | no independent media; radios and TVs are pre-tuned to government stations; 4 government-owned TV stations; the Korean Workers' Party owns and operates the Korean Central Broadcasting Station, and the state-run Voice of Korea operates an external broadcast service; the government prohibits listening to and jams foreign broadcasts (2008) |
| Internet country code: | .kp |
