| Communications | Armenia |
| --- | --- |
| Telephones - main lines in use: | 584,000 (2012) |
| Telephones - mobile cellular: | 3.223 million (2012) |
| Telephone system: | general assessment: telecommunications investments have made major inroads in modernizing and upgrading the outdated telecommunications network inherited from the Soviet era; now 100% privately owned and undergoing modernization and expansion; mobile-cellular services monopoly terminated in late 2004 and a second provider began operations in mid-2005 |
| Telephone system: | domestic: reliable modern fixed-line and mobile-cellular services are available across Yerevan in major cities and towns; significant but ever-shrinking gaps remain in mobile-cellular coverage in rural areas |
| Telephone system: | international: country code - 374; Yerevan is connected to the Trans-Asia-Europe fiber-optic cable through Iran; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States, through the Moscow international switch, and by satellite to the rest of the world; satellite earth stations - 3 (2008) |
| Broadcast media: | 2 public TV networks operating alongside more than 40 privately owned TV stations that provide local to near nationwide coverage; major Russian broadcast stations are widely available; subscription cable TV services are available in most regions; Public Radio of Armenia is a national, state-run broadcast network that operates alongside about 20 privately owned radio stations; several major international broadcasters are available (2008) |
| Internet country code: | .am |
| Internet hosts: | 194,142 (2012) |
| Internet users: | 208,200 (2009) |
