| Communications | ARMENIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 560,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (2014 est.) |
| Telephones - mobile cellular: | total: 3.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (2014 est.) |
| Telephone system: | general assessment: telecommunications investments have made major inroads in modernizing and upgrading the outdated telecommunications network inherited from the Soviet era; now 100% privately owned and undergoing modernization and expansion; mobile-cellular services monopoly terminated in late 2004, and a second and third provider began operations in 2005 and 2009 respectively |
| Telephone system: | domestic: reliable modern fixed-line and mobile-cellular services are available across Yerevan and in major cities and towns; significant but ever-shrinking gaps remain in mobile-cellular coverage in rural areas |
| Telephone system: | international: country code - 374; Yerevan is connected to the Trans-Asia-Europe fiber-optic cable through Iran; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States, through the Moscow international switch, and by satellite to the rest of the world; satellite earth stations - 3 (2008) |
| Broadcast media: | 2 public TV networks operating alongside about 40 privately owned TV stations that provide local to near nationwide coverage; major Russian broadcast stations are widely available; subscription cable TV services are available in most regions; Public Radio of Armenia is a national, state-run broadcast network that operates alongside 21 privately owned radio stations; several major international broadcasters are available (2015) |
| Radio broadcast stations: | AM 9, FM 16, shortwave 1 (2006) |
| Television broadcast stations: | 48 (private television stations alongside 2 public networks; major Russian channels widely available) (2006) |
| Internet country code: | .am |
| Internet users: | total: 1.3 million |
| Internet users: | percent of population: 43.6% (2014 est.) |
