| Communications | Armenia |
| --- | --- |
| Telephones - main lines in use: | 603,900 (2006) |
| Telephones - mobile cellular: | 1,185,400 (2006) |
| Telephone system: | general assessment: telecommunications investments have made major inroads in modernizing and upgrading the outdated telecommunications network inherited from the Soviet era; now 100% privately owned and undergoing modernization and expansion; mobile-cellular services monopoly terminated in late 2004 and a second provider began operations in mid-2005 |
| Telephone system: | domestic: reliable modern landline and mobile-cellular services are available across Yerevan in major cities and towns; significant but ever-shrinking gaps remain in mobile-cellular coverage in rural areas |
| Telephone system: | international: country code - 374; Yerevan is connected to the Trans-Asia-Europe fiber-optic cable through Iran; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States, through the Moscow international switch, and by satellite to the rest of the world; satellite earth stations - 3 (2007) |
| Radio broadcast stations: | AM 9, FM 16, shortwave 1 (2006) |
| Radios: | 850,000 (1997) |
| Television broadcast stations: | 48 (private television stations alongside 2 public networks; major Russian channels widely available) (2006) |
| Televisions: | 825,000 (1997) |
| Internet country code: | .am |
| Internet hosts: | 26,081 (2008) |
| Internet Service Providers (ISPs): | 9 (2001) |
| Internet users: | 172,800 (2006) |
