| Communications | Anguilla |
| --- | --- |
| Telephones - main lines in use: | 6,200 (2011) |
| Telephones - mobile cellular: | 26,000 (2011) |
| Telephone system: | general assessment: modern internal telephone system |
| Telephone system: | domestic: fixed-line teledensity is roughly 40 per 100 persons; mobile-cellular teledensity is roughly 170 per 100 persons |
| Telephone system: | international: country code - 1-264; landing point for the East Caribbean Fiber System submarine cable with links to 13 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; microwave radio relay to island of Saint Martin/Sint Maarten (2011) |
| Broadcast media: | 1 private TV station; multi-channel cable TV subscription services are available; about 10 radio stations, one of which is government-owned (2007) |
| Internet country code: | .ai |
| Internet hosts: | 269 (2012) |
| Internet users: | 3,700 (2009) |
