| Communications | Anguilla |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,461 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42.02 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 32,332 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 182.09 (2019 est.) |
| Telecommunication systems: | general assessment: modern internal telephone system with fiber-optic trunk lines; telecom sector provides a relatively high contribution to overall GDP; numerous competitors licensed, but small and localized; major growth sectors include the mobile telephony and data segments (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity is about 42 per 100 persons; mobile-cellular teledensity is roughly 182 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-264; landing points for theÂ SSCS, ECFS, GCNÂ and Southern Caribbean Fiber with submarine cableÂ links toÂ Caribbean islandsÂ and to the US; microwave radio relay to island of Saint Martin/Sint Maarten (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 private TV station; multi-channel cable TV subscription services are available; about 10 radio stations, one of which is government-owned |
| Internet country code: | .ai |
| Internet users: | total: 14,211 |
| Internet users: | percent of population: 81.57% (July 2018 est.) |
