| Communications | Mozambique |
| --- | --- |
| Telephones - main lines in use: | 88,100 (2012) |
| Telephones - mobile cellular: | 8.108 million (2012) |
| Telephone system: | general assessment: a fair telecommunications system that is shackled with a heavy state presence, lack of competition, and high operating costs and charges |
| Telephone system: | domestic: stagnation in the fixed-line network contrasts with rapid growth in the mobile-cellular network; mobile-cellular coverage now includes all the main cities and key roads, including those from Maputo to the South African and Swaziland borders, the national highway through Gaza and Inhambane provinces, the Beira corridor, and from Nampula to Nacala; extremely low fixed-line teledensity; despite significant growth in mobile-cellular services, teledensity remains low at about 35 per 100 persons |
| Telephone system: | international: country code - 258; landing point for the EASSy and SEACOM fiber-optic submarine cable systems; satellite earth stations - 5 Intelsat (2 Atlantic Ocean and 3 Indian Ocean) (2011) |
| Broadcast media: | 1 state-run TV station supplemented by private TV station; Portuguese state TV's African service, RTP Africa, and Brazilian-owned TV Miramar are available; state-run radio provides nearly 100% territorial coverage and broadcasts in multiple languages; a number of privately owned and community-operated stations; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .mz |
| Internet hosts: | 89,737 (2012) |
| Internet users: | 613,600 (2009) |
