| Communications | Mozambique |
| --- | --- |
| Telephones - main lines in use: | 78,300 (2008) |
| Telephones - mobile cellular: | 4.405 million (2008) |
| Telephone system: | general assessment: fair system with an extremely low density of less than 1 fixed line per 100 persons |
| Telephone system: | domestic: the telecommunications sector is shackled with a heavy state presence, lack of competition, and high operating costs and charges; stagnation in the fixed-line network contrasts with rapid growth in the mobile-cellular network; mobile-cellular coverage now includes all the main cities and key roads, including those from Maputo to the South African and Swaziland borders, the national highway through Gaza and Inhambane provinces, the Beira corridor, and from Nampula to Nacala |
| Telephone system: | international: country code - 258; satellite earth stations - 5 Intelsat (2 Atlantic Ocean and 3 Indian Ocean) |
| Radio broadcast stations: | AM 13, FM 17, shortwave 11 (2001) |
| Television broadcast stations: | 4 (2008) |
| Internet country code: | .mz |
| Internet hosts: | 21,388 (2009) |
| Internet users: | 350,000 (2008) |
