| Communications | SWITZERLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.37 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 54 (2014 est.) |
| Telephones - mobile cellular: | total: 11.5 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 142 (2014 est.) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with excellent domestic and international services |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; mobile-cellular subscribership roughly 125 per 100 persons; extensive cable and microwave radio relay networks |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) (2011) |
| Broadcast media: | the publicly owned radio and TV broadcaster, Swiss Broadcasting Corporation (SRG/SSR), operates 7 national TV networks, 3 broadcasting in German, 2 in Italian, and 2 in French; private commercial TV stations broadcast regionally and locally; TV broadcasts from stations in Germany, Italy, and France are widely available via multi-channel cable and satellite TV services; SRG/SSR operates 18 radio stations that, along with private broadcasters, provide national to local coverage (2009) |
| Radio broadcast stations: | AM 3, FM 106 (plus many low-power stations), shortwave 3 (2008) |
| Television broadcast stations: | 106 (2007) |
| Internet country code: | .ch |
| Internet users: | total: 7.1 million |
| Internet users: | percent of population: 88.0% (2014 est.) |
