| Communications | Switzerland |
| --- | --- |
| Telephones - main lines in use: | 4.65 million (2009) |
| Telephones - mobile cellular: | 9.255 million (2009) |
| Telephone system: | general assessment: highly developed telecommunications infrastructure with excellent domestic and international services |
| Telephone system: | domestic: ranked among leading countries for fixed-line teledensity and infrastructure; mobile-cellular subscribership roughly 120 per 100 persons; extensive cable and microwave radio relay networks |
| Telephone system: | international: country code - 41; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean) |
| Broadcast media: | the publicly-owned radio and television broadcaster, Swiss Broadcasting Corporation (SRG/SSR), operates 7 national television networks, 3 broadcasting in German, 2 in Italian, and 2 in French; private commercial television stations broadcast regionally and locally; television broadcasts from stations in Germany, Italy, and France are widely accessed using multi-channel cable and satellite TV services; SRG/SSR operates 18 radio stations that, along with private broadcasters, provide national to local coverage (2008) |
| Internet country code: | .ch |
| Internet hosts: | 4.816 million (2010) |
| Internet users: | 6.152 million (2009) |
