| Communications | Curacao |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 57,443 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 38.09 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 174,260 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115.55 (2019 est.) |
| Telecommunication systems: | general assessment: fully automatic modern telecommunications system; telecom sector across the Caribbean region continues to be one ofÂ the growth areas; given the lack of economic diversity in the region, with a high dependence on tourism and activities such as fisheries and offshore financial services the telecom sector contributes greatly to the GDP (2020) |
| Telecommunication systems: | domestic: 39 per 100 users for fixed-line and 116 per 100 users for cellular-mobile, majority of the islanders have Internet; market revenue has been affected in recent quarters as a result of competition and regulatory measures on termination rates and roaming tariffs (2020) |
| Telecommunication systems: | international: country code - +599, PCCS submarine cable system to US, Caribbean and Central and South America (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government-run TeleCuracao operates a TV station and a radio station;Â 2 other privately owned TV stations and several privately owned radio stations (2019) |
| Internet country code: | .cw |
| Internet users: | total: 102,359 |
| Internet users: | percent of population: 68.13% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 51,836 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 35 (2018 est.) |
