| Communications | NEPAL |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 858,237 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (July 2016 est.) |
| Telephones - mobile cellular: | total: 32,120,305 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 111 (July 2016 est.) |
| Telephone system: | general assessment: mountainous topography hinders development of telecom infrastructure; fair radiotelephone communication service and mobile-cellular telephone network |
| Telephone system: | domestic: mobile service has been extended to all 75 districts covering 90% of Nepal’s land area; disparity between high coverage in cities and coverage available in underdeveloped rural regions |
| Telephone system: | international: country code - 977; radiotelephone communications; microwave and fiber landlines to India; satellite earth station - 1 Intelsat (Indian Ocean) (2016) |
| Broadcast media: | state operates 3 TV stations, as well as national and regional radio stations; 88 independent TV channels are registered with only 25 in regular operation; 672 FM radio stations are licensed with 588 operational (2016) |
| Internet country code: | .np |
| Internet users: | total: 5,716,419 |
| Internet users: | percent of population: 19.7% (July 2016 est.) |
