| Communications | GUYANA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 153,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephones - mobile cellular: | total: 539,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 73 (July 2016 est.) |
| Telephone system: | general assessment: reliable international long distance service; 100% digital network; national transmission supported by fiber optic cable and rural network by microwaves; more than 150,000 lines; many areas still lack fixed-line telephone services |
| Telephone system: | domestic: fixed-line teledensity is about 20 per 100 persons; mobile-cellular teledensity about 75 per 100 persons |
| Telephone system: | international: country code - 592; SIP trunking to most providers; international calls via diverse fiber optic cables; satellite earth station - 1 Intelsat (Atlantic Ocean) (2017) |
| Broadcast media: | government-dominated broadcast media; the National Communications Network (NCN) TV is state-owned; a few private TV stations relay satellite services; the state owns and operates 2 radio stations broadcasting on multiple frequencies capable of reaching the entire country; government limits on licensing of new private radio stations has constrained competition in broadcast media (2017) |
| Internet country code: | .gy |
| Internet users: | total: 262,425 |
| Internet users: | percent of population: 35.7% (July 2016 est.) |
