| Communications | Guyana |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 130,497 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17.52 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 617,998 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 82.97 (2019 est.) |
| Telecommunication systems: | general assessment: reliable international long distance service; 100% digital network; national transmission supported by fiber optic cable and rural network by microwaves; more than 150,000 lines; many areas still lack fixed-line telephone services; 2019 budget allocates funds for ICT (Information and Communications Technology)Â development; broadband subscribers remains small and end-users incur expense to use (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity is about 18 per 100 persons; mobile-cellular teledensity about 83 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 592; landing point for the SG-SCS submarine cable to Suriname,Â and the Caribbean;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government-dominated broadcast media; the National Communications Network (NCN) TV is state-owned; a few private TV stations relay satellite services; the state owns and operates 2 radio stations broadcasting on multiple frequencies capable of reaching the entire country; government limits on licensing of new private radio stations has constrained competition in broadcast media |
| Internet country code: | .gy |
| Internet users: | total: 276,498 |
| Internet users: | percent of population: 37.33% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 64,889 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2017 est.) |
