| Communications | CUBA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,322,002 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,987,900 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 36 (July 2016 est.) |
| Telephone system: | general assessment: fixed-line and mobile services run by the state-run ETESCA; mobile-cellular telephone service is expensive and must be paid in convertible pesos; Cuban Government has opened several hundred Wi-Fi hotspots around the island, which are expensive, and launched a new residential Internet pilot in Havana |
| Telephone system: | domestic: fixed-line density remains low at about 10 per 100 inhabitants; mobile-cellular service expanding but remains only about 35 per 100 persons |
| Telephone system: | international: country code - 53; the ALBA-1 fiber-optic submarine cable links Cuba, Jamaica, and Venezuela; fiber-optic cable laid to but not linked to US network; satellite earth station - 1 Intersputnik (Atlantic Ocean region); several US telecommunication companies have signed voice and data deals to serve their customers while in Cuba (2017) |
| Broadcast media: | government owns and controls all broadcast media with private ownership of electronic media prohibited; however, several online independent news sites exist and those that are not openly critical of the government are often tolerated; government operates 5 national TV networks and many local TV stations; government operates 6 national radio networks, an international station, and many local radio stations; Radio-TV Marti is beamed from the US (2017) |
| Internet country code: | .cu |
| Internet users: | total: 4,334,022 |
| Internet users: | percent of population: 38.8% |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels but are subject to firewalls; some Cubans buy illegal passwords on the black market or take advantage of public outlets to access limited email and the government-controlled "intranet" (July 2016 est.) |
