| Communications | Cuba |
| --- | --- |
| Telephones - main lines in use: | 1.043 million (2007) |
| Telephones - mobile cellular: | 198,300 (2007) |
| Telephone system: | general assessment: greater investment beginning in 1994 and the establishment of a new Ministry of Information Technology and Communications in 2000 has resulted in improvements in the system; wireless service is expensive and must be paid in convertible pesos which effectively limits mobile cellular subscribership |
| Telephone system: | domestic: national fiber-optic system under development; 95% of switches digitized by end of 2006; fixed telephone line density remains low, at less than 10 per 100 inhabitants; domestic cellular service expanding but remains at only about 2 per 100 persons |
| Telephone system: | international: country code - 53; fiber-optic cable laid to but not linked to US network; satellite earth station - 1 Intersputnik (Atlantic Ocean region) (2007) |
| Radio broadcast stations: | AM 169, FM 55, shortwave 1 (1998) |
| Radios: | 3.9 million (1997) |
| Television broadcast stations: | 58 (1997) |
| Televisions: | 2.64 million (1997) |
| Internet country code: | .cu |
| Internet hosts: | 3,664 (2008) |
| Internet Service Providers (ISPs): | 5 (2001) |
| Internet users: | 1.31 million |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels but are subject to firewalls; some Cubans buy illegal passwords on the black market or take advantage of public outlets to access limited email and the government-controlled "intranet" (2007) |
