| Communications | Cuba |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,349,188 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,613,782 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 41 (2017 est.) |
| Telephone system: | general assessment: fixed-line and mobile services run by the state-run ETESCA; mobile-cellular telephone service is expensive and must be paid in convertible pesos; Cuban Government has opened several hundred Wi-Fi hotspots around the island, which are expensive, and launched a new residential Internet pilot in Havana and other provinces; as of 2018, 3G mobile service is available, if limited (2018) |
| Telephone system: | domestic: fixed-line density remains low at about 12 per 100 inhabitants; mobile-cellular service is expandingÂ toÂ aboutÂ 41 per 100 persons (2018) |
| Telephone system: | international: country code - 53; the ALBA-1, GTMO-1,Â and GTMO-PRÂ fiber-optic submarine cables link Cuba, Jamaica, and Venezuela;Â  January 2016 the FCC allowed US firms to do business directly with the Cuban telecom sector, satellite earth station - 1 Intersputnik (Atlantic Ocean region) (2019) |
| Broadcast media: | Government owns and controls all broadcast media: five national TV channels (Cubavision, Tele Rebelde, Multivision, Educational Channel 1 and 2,)Â 2 international channels (Cubavision Internacional and Caribe,) 16 regional TV stations,Â 6 national radio networks and multiple regional stations; the Cuban government beams over the Radio-TV Marti signal;Â although private ownership of electronic media is prohibited, several online independent news sites exist; those that are not openly critical of the government are often tolerated; the others are blocked by the government; there are no independent TV channels, but several outlets have created strong audiovisual content (El Toque, for example);Â a community of young Youtubers is also growing, mostly with channels about sports, technology and fashion; Christian denominations are creating original video content to distribute via social media |
| Broadcast media: | (2019) |
| Internet country code: | .cu |
| Internet users: | total: 4,334,022 |
| Internet users: | percent of population: 38.8% (July 2016 est.) |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels but are subject to firewalls; some Cubans buy illegal passwords on the black market or take advantage of public outlets to access limited email and the government-controlled "intranet" |
| Broadband - fixed subscriptions: | total: 33,536 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
