| Communications | Cuba |
| --- | --- |
| Telephones - main lines in use: | 1.168 million (2009) |
| Telephones - mobile cellular: | 443,000 (2009) |
| Telephone system: | general assessment: greater investment beginning in 1994 and the establishment of a new Ministry of Information Technology and Communications in 2000 has resulted in improvements in the system; national fiber-optic system under development; 95% of switches digitized by end of 2006; mobile-cellular telephone service is expensive and must be paid in convertible pesos, which effectively limits subscribership |
| Telephone system: | domestic: fixed-line density remains low at less than 10 per 100 inhabitants; mobile-cellular service expanding but remains less than 5 per 100 persons |
| Telephone system: | international: country code - 53; fiber-optic cable laid to but not linked to US network; satellite earth station - 1 Intersputnik (Atlantic Ocean region) (2009) |
| Broadcast media: | government owns and controls all broadcast media with private ownership of electronic media prohibited; government operates 4 national TV networks and many local TV stations; government operates 6 national radio networks, an international station, and many local radio stations; Radio-TV Marti is beamed from the US (2007) |
| Internet country code: | .cu |
| Internet hosts: | 3,025 (2010) |
| Internet users: | 1.606 million |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels but are subject to firewalls; some Cubans buy illegal passwords on the black market or take advantage of public outlets to access limited email and the government-controlled "intranet" (2009) |
