| Communications | Cuba |
| --- | --- |
| Telephones - main lines in use: | 574,400 (2002) |
| Telephones - mobile cellular: | 17,900 (2002) |
| Telephone system: | general assessment: greater investment beginning in 1994 and the establishment of a new Ministry of Information Technology and Communications in 2000 has resulted in improvements in the system; wireless service is expensive and remains restricted to foreigners and regime elites, many Cubans procure wireless service illegally with the help of foreigners |
| Telephone system: | domestic: national fiber-optic system under development; 85% of switches digitized by end of 2004; telephone line density remains low, at 10 per 100 inhabitants; domestic cellular service expanding |
| Telephone system: | international: country code - 53; fiber-optic cable laid to but not linked to US network; satellite earth station - 1 Intersputnik (Atlantic Ocean region) |
| Radio broadcast stations: | AM 169, FM 55, shortwave 1 (1998) |
| Radios: | 3.9 million (1997) |
| Television broadcast stations: | 58 (1997) |
| Televisions: | 2.64 million (1997) |
| Internet country code: | .cu |
| Internet hosts: | 1,529 (2003) |
| Internet Service Providers (ISPs): | 5 (2001) |
| Internet users: | 120,000 |
| Internet users: | note: private citizens are prohibited from buying computers or accessing the Internet without special authorization; foreigners may access the Internet in large hotels, but are subject to firewalls; some Cubans buy illegal passwords on the black market, or take advantage of public outlets to access limited email and the government-controlled "intranet" (2004) |
