| Communications | Vietnam |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,710,210 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.79 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 138,256,733 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 141.23 (2019 est.) |
| Telecommunication systems: | general assessment: despite being a communist country there areÂ plans to part privatize the stateâ€™s holdings in telecom companiesÂ as well as a large number of other enterprises; competition is thriving in the market place; mobile dominates over fixed-line; FttH market growing, as is e-commerce; govt. is the driving force for growth and moving towards commercializing 5G services with test licenses issued in 2019;Â 5 major operators; Ho Chi Minh City to become the first smart city in Vietnam with cloud computing infrastructure, big data, data centers and security-monitoring centers (2020) |
| Telecommunication systems: | domestic: all provincial exchanges are digitalized and connected to Hanoi, Da Nang, and Ho Chi Minh City by fiber-optic cable or microwave radio relay networks; main lines have been increased, and the use of mobile telephones is growing rapidly; fixed-line 4 per 100 and mobile-cellular 141 per 100 (2019) |
| Telecommunication systems: | international: country code - 84; landing points for the SeaMeWe-3,Â APG, SJC2, AAE-1, AAG and the TGN-IA submarine cable system providing connectivity to Europe, Africa, the Middle East, Asia, Southeast Asia, Australia, and the US; satellite earth stations - 2 Intersputnik (Indian Ocean region) (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government controls all broadcast media exercising oversight through the Ministry of Information and Communication (MIC); government-controlled national TV provider, Vietnam Television (VTV), operates a network of several channels with regional broadcasting centers; programming is relayed nationwide via a network of provincial and municipal TV stations; law limits access to satellite TV but many households are able to access foreign programming via home satellite equipment; government-controlled Voice of Vietnam, the national radio broadcaster, broadcasts on several channels and is repeated on AM, FM, and shortwave stations throughout Vietnam (2018) |
| Internet country code: | .vn |
| Internet users: | total: 68,267,875 |
| Internet users: | percent of population: 70.35% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 12,994,451 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 13 (2018 est.) |
