| Communications | Vietnam |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,526,077 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 120,016,181 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125 (2017 est.) |
| Telephone system: | general assessment: Vietnam is putting considerable effort into modernization and expansion of its telecommunication system (2016) |
| Telephone system: | domestic: all provincial exchanges are digitalized and connected to Hanoi, Da Nang, and Ho Chi Minh City by fiber-optic cable or microwave radio relay networks; main lines have been increased, and the use of mobile telephones is growing rapidly (2016) |
| Telephone system: | international: country code - 84; a landing point for the SEA-ME-WE-3, the C2C, and Thailand-Vietnam-Hong Kong submarine cable systems; the Asia-America Gateway submarine cable system, completed in 2009, provided new access links to Asia and the US; satellite earth stations - 2 Intersputnik (Indian Ocean region) (2016) |
| Broadcast media: | government controls all broadcast media exercising oversight through the Ministry of Information and Communication (MIC); government-controlled national TV provider, Vietnam Television (VTV), operates a network of several channels with regional broadcasting centers; programming is relayed nationwide via a network of provincial and municipal TV stations; law limits access to satellite TV but many households are able to access foreign programming via home satellite equipment; government-controlled Voice of Vietnam, the national radio broadcaster, broadcasts on several channels and is repeated on AM, FM, and shortwave stations throughout Vietnam (2018) |
| Internet country code: | .vn |
| Internet users: | total: 49.741 million (July 2016 est.) |
| Internet users: | percent of population: 52.7% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 11,269,936 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2017 est.) |
