| Communications | Suriname |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 96,310 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 15.95 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 845,292 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 139.99 (2019 est.) |
| Telecommunication systems: | general assessment: international facilities are good; state-owned fixed-line teledensity and broadband services below regional average for Latin America and Caribbean, but mobile penetration is above regional average; fixed-line effective along the coastline and poor in the interior; competition in the mobile sector (2020) |
| Telecommunication systems: | domestic: fixed-line 16 per 100 and mobile-cellular teledensity 140 telephones per 100 persons; microwave radio relay network is in place (2019) |
| Telecommunication systems: | international: country code - 597; landing point for the SG-SCS submarine cable linking South America with the Caribbean; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 2 state-owned TV stations; 1 state-owned radio station; multiple private radio and TV stations (2019) |
| Internet country code: | .sr |
| Internet users: | total: 292,685 |
| Internet users: | percent of population: 48.95% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 73,176 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2018 est.) |
