| Communications | Cayman Islands |
| --- | --- |
| Telephones - main lines in use: | 37,400 (2012) |
| Telephones - mobile cellular: | 96,300 (2012) |
| Telephone system: | general assessment: reasonably good overall telephone system with a high fixed-line teledensity |
| Telephone system: | domestic: liberalization of telecom market in 2003; introduction of competition in the mobile-cellular market in 2004 |
| Telephone system: | international: country code - 1-345; landing points for the Maya-1, Eastern Caribbean Fiber System (ECFS), and the Cayman-Jamaica Fiber System submarine cables that provide links to the US and parts of Central and South America; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | 4 TV stations; cable and satellite subscription services offer a variety of international programming; government-owned Radio Cayman operates 2 networks broadcasting on 5 stations; 10 privately owned radio stations operate alongside Radio Cayman (2007) |
| Internet country code: | .ky |
| Internet hosts: | 23,472 (2012) |
| Internet users: | 23,000 (2008) |
