| Communications | French Polynesia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 60,530 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 33 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 280,111 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 97 (July 2016 est.) |
| Telephone system: | general assessment: one of the most advanced telecom infrastructures for the Pacific islands region; 85% mobile broadband coverage (2017) |
| Telephone system: | domestic: fixed-line subscriptions 33 per 100 personsÂ and mobile-cellular density is roughlyÂ 97 per 100 persons (2017) |
| Telephone system: | international: country code - 689; satellite earth station - 1 Intelsat (Pacific Ocean); international submarine cables depolyed in 2010 andÂ more cables after 2016 (2017) |
| Broadcast media: | French public overseas broadcaster Reseau Outre-Mer provides 2 TV channels and 1 radio station; 1 government-owned TV station; a small number of privately owned radio stations (2018) |
| Internet country code: | .pf |
| Internet users: | total: 195,275 (July 2016 est.) |
| Internet users: | percent of population: 68.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 55,443 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 19 (2017 est.) |
