| Communications | IRAQ |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.997 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (July 2015 est.) |
| Telephones - mobile cellular: | total: 33.559 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91 (July 2015 est.) |
| Telephone system: | general assessment: the 2003 liberation of Iraq severely disrupted telecommunications throughout Iraq; widespread government efforts to rebuild domestic and international communications have slowed due to the ongoing conflict with ISIL |
| Telephone system: | domestic: the mobile cellular market continues to expand (cell phones were banned prior to 2003 under the SADDAM regime); 3G services offered by three major mobile operators in 2015; ongoing conflict has destroyed infrastructure in areas |
| Telephone system: | international: country code - 964; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Intersputnik - Atlantic Ocean region, and 1 Arabsat (inoperative)); local microwave radio relay connects border regions to Jordan, Kuwait, Syria, and Turkey; international terrestrial fiber-optic connections have been established with Saudi Arabia, Turkey, Kuwait, Jordan, and Iran; links to the Fiber-Optic Link Around the Globe (FLAG) and the Gulf Bridge International (GBI) submarine fiber-optic cables have been established (2015) |
| Broadcast media: | the number of private radio and TV stations has increased rapidly since 2003; government-owned TV and radio stations are operated by the publicly funded Iraqi Media Network; private broadcast media are mostly linked to political, ethnic, or religious groups; satellite TV is available to an estimated 70% of viewers and many of the broadcasters are based abroad; transmissions of multiple international radio broadcasters are accessible (2015) |
| Internet country code: | .iq |
| Internet users: | total: 6.381 million |
| Internet users: | percent of population: 17.2% (July 2015 est.) |
