| Communications | Iraq |
| --- | --- |
| Telephones - main lines in use: | 675,000; note - an unknown number of telephone lines were damaged or destroyed during the March-April 2003 war (2003) |
| Telephones - mobile cellular: | 20,000 (2002) |
| Telephone system: | general assessment: the 2003 war severely disrupted telecommunications throughout Iraq including international connections; USAID is overseeing the repair of switching capability and the construction of mobile and satellite communications facilities |
| Telephone system: | domestic: repairs to switches and lines destroyed in the recent fighting continue but sabotage remains a problem; cellular service is expected to be in place within two years |
| Telephone system: | international: country code - 964; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), 1 Intersputnik (Atlantic Ocean region), and 1 Arabsat (inoperative); coaxial cable and microwave radio relay to Jordan, Kuwait, Syria, and Turkey; Kuwait line is probably nonoperational |
| Radio broadcast stations: | after 17 months of unregulated media growth, there are approximately 80 radio stations on the air inside Iraq (2004) |
| Radios: | 4.85 million (1997) |
| Television broadcast stations: | 21 (2004) |
| Televisions: | 1.75 million (1997) |
| Internet country code: | .iq |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | 25,000 (2002) |
