| Communications | Gambia, The |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 37,969 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,838,127 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 138 (July 2016 est.) |
| Telephone system: | general assessment: adequate microwave radio relay and open-wire network; state-owned Gambia Telecommunications partially privatized but still retaining a monopoly; multiple mobile networks offering effective competition; three licensed ISPs which serve local area without much competion (2018) |
| Telephone system: | domestic: fixed-line stands at 2 per 100 subscriptions with one dominant company and mobile-cellular teledensity, aided by multiple mobile-cellular providers, is over 138 per 100 persons (2018) |
| Telephone system: | international: country code - 220; landing points for the ACE submarine cable to West Africa and Europe; microwave radio relay links to Senegal and Guinea-Bissau;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 1Â state-run TV-channel; one privately-owned TV-station; 1Â Online TV-station; three state-owned radio station and 31 privately owned radio stations; eight community radio stations; transmissions of multiple international broadcasters are available, some via shortwave radio; cable and satellite TV subscription services are obtainable in some parts of the countryÂ  |
| Broadcast media: | (2019) |
| Internet country code: | .gm |
| Internet users: | total: 371,785 |
| Internet users: | percent of population: 18.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,750 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
