| Communications | Gambia, The |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 41,179 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.93 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 2,977,068 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 139.53 (2019 est.) |
| Telecommunication systems: | general assessment: state-owned Gambia Telecommunications partially privatized but still retaining a monopoly with fixed-line service; multiple mobile networks offering effective competition; three licensed ISPs which serve local area without much competition; mobile penetrations above the African average; lack of availability of fixed-line services in many rural areas of the country; govt. started a National Broadband Network program aimed at closing the digital divide but not funded by Parliament in 2018; the Chinese company Huawei helping in the telecommunications sector (2020) |
| Telecommunication systems: | domestic: fixed-line stands at 2 per 100 subscriptions with one dominant company and mobile-cellular teledensity, aided by multiple mobile-cellular providers, is over 140 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 220; landing point for the ACE submarine cable to West Africa and Europe; microwave radio relay links to Senegal and Guinea-Bissau;Â satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1Â state-run TV-channel; one privately-owned TV-station; 1Â Online TV-station; three state-owned radio station and 31 privately owned radio stations; eight community radio stations; transmissions of multiple international broadcasters are available, some via shortwave radio; cable and satellite TV subscription services are obtainable in some parts of the countryÂ  |
| Broadcast media: | (2019) |
| Internet country code: | .gm |
| Internet users: | total: 406,918 |
| Internet users: | percent of population: 19.84% (July 2017 est.) |
| Broadband - fixed subscriptions: | total: 4,433 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
