| Communications | Benin |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 56,787 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,773,044 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 79 (2017 est.) |
| Telephone system: | general assessment: fixed-line network characterized by aging, deteriorating equipment; mobile networks account for almost all Internet connections; govt. aims to provide telecoms services to 80% of the country, mostly via mobile infrastructure; govt aims toÂ restructure state-owned telcos and has partially done so; Mobile Number Portability (MNP) is available; Benin joins free roaming scheme (2018) |
| Telephone system: | domestic: fixed-line teledensity only about 1 per 100 persons; spurred by the presence of multiple mobile-cellular providers, cellular telephone subscribership has increased rapidly, exceedingÂ 79 per 100 persons in 2017 (2018) |
| Telephone system: | international: country code - 229; landing points for the SAT-3/WASC and ACE fiber-optic submarine cable that provides connectivity to Europe, andÂ most West African countries; satellite earth stations - 7 (Intelsat-Atlantic Ocean) (2019) |
| Broadcast media: | state-run Office de Radiodiffusion et de Television du Benin (ORTB) operates a TV station providing a wide broadcast reach; several privately owned TV stations broadcast from Cotonou; satellite TV subscription service is available; state-owned radio, under ORTB control, includes a national station supplemented by a number of regional stations; substantial number of privately owned radio broadcast stations; transmissions of a few international broadcasters are available on FM in Cotonou (2019) |
| Internet country code: | .bj |
| Internet users: | total: 1,288,336 |
| Internet users: | percent of population: 12% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 28,833 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
