| Communications | Chile |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,193,131 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 23,013,147 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129 (2017 est.) |
| Telephone system: | general assessment: most advanced telecommunications infrastructure in South America; modern system based on extensive microwave radio relay facilities; although Chile has one of the highest mobile penetration rates in the region, the number of subscribers has fallen due to subscribers ending multiple SIM card use; this downward trend is expected to be haltedÂ as the availability of LTE networks and services broaden;Â in terms of available broadband speeds the country ranks second highest in South and Central America (2018) |
| Telephone system: | domestic: number of fixed-line connections have stagnated to 18 per 100 in recent years as mobile-cellular usage continues to increase, reaching 130 telephones per 100 persons; domestic satellite system with 3 earth stations (2018) |
| Telephone system: | international: country code - 56; landing points for the Pan-Am, Prat, SAm-1, American Movil-Telxius West Coast Cable, FOS Quellon-Chacabuco, Fibra Optical Austral, SACÂ andÂ Curie submarine cables providing links to the US, CaribbeanÂ and to Central and South America; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | national and local terrestrial TV channels, coupled with extensive cable TV networks; the state-owned Television Nacional de Chile (TVN) network is self-financed through commercial advertising revenues and is not under direct government control; large number of privately owned TV stations; about 250 radio stations |
| Internet country code: | .cl |
| Internet users: | total: 11,650,840 |
| Internet users: | percent of population: 66% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,058,979 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 17 (2017 est.) |
