| Communications | BURMA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 530,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 26.6 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 48 (2014 est.) |
| Telephone system: | general assessment: meets minimum requirements for local and intercity service for business and government |
| Telephone system: | domestic: system barely capable of providing basic service; mobile-cellular phone system is grossly underdeveloped |
| Telephone system: | international: country code - 95; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; satellite earth stations - 2, Intelsat (Indian Ocean) and ShinSat (2011) |
| Broadcast media: | government controls all domestic broadcast media; 2 state-controlled TV stations with 1 of the stations controlled by the armed forces; 2 pay-TV stations are joint state-private ventures; access to satellite TV is limited; 1 state-controlled domestic radio station and 9 FM stations that are joint state-private ventures; transmissions of several international broadcasters are available in parts of Burma; the Voice of America (VOA), Radio Free Asia (RFA), BBC Burmese service, the Democratic Voice of Burma (DVB), and Radio Australia use shortwave to broadcast in Burma; VOA, RFA, and DVB produce daily TV news programs that are transmitted by satellite to audiences in Burma |
| Radio broadcast stations: | AM 1, FM 2, shortwave 3 (2007) |
| Television broadcast stations: | 4 (2008) |
| Internet country code: | .mm |
| Internet users: | total: 646,700 |
| Internet users: | percent of population: 1.2% (2014 est.) |
