| Communications | Burma |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 544,283 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 63,877,526 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113.84 (2019 est.) |
| Telecommunication systems: | general assessment: use to claim to beÂ one of the last underdeveloped telecom markets in Asia; the mobile market has recently experienced rapid growth, in 2014 foreign competition was allowed to competeÂ in the market and now they have moved from 1 operator to 3; low compared to other nations in the region, but expanding nationally; moving past fixed broadband to mobile device access for Internet services; rollout of 4G to eventually 5G networks (2020) |
| Telecommunication systems: | domestic: fixed-line is 1 per 100, while mobile-cellular is 114 per 100 and shows great potential for the future (2019) |
| Telecommunication systems: | international: country code - 95; landing points for the SeaMeWe-3, SeaMeWe-5, AAE-1 and Singapore-MyanmarÂ optical telecommunications submarine cable that provides links to Asia, the Middle East, Africa, Southeast Asia, AustraliaÂ and Europe; satellite earth stations - 2, Intelsat (Indian Ocean) and ShinSat (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government controls all domestic broadcast media; 2 state-controlled TV stations with 1 of the stations controlled by the armed forces; 2 pay-TV stations are joint state-private ventures; access to satellite TV is limited; 1 state-controlled domestic radio station and 9 FM stations that are joint state-private ventures; transmissions of several international broadcasters are available in parts of Burma; the Voice of America (VOA), Radio Free Asia (RFA), BBC Burmese service, the Democratic Voice of Burma (DVB), and Radio Australia use shortwave to broadcast in Burma; VOA, RFA, and DVB produce daily TV news programs that are transmitted by satellite to audiences in Burma; in March 2017, the government granted licenses to 5 private broadcasters, allowing them digital free-to-air TV channels to be operated in partnership with government-owned Myanmar Radio and Television (MRTV) and will rely upon MRTVâ€™s transmission infrastructure (2019) |
| Internet country code: | .mm |
| Internet users: | total: 17,064,985 |
| Internet users: | percent of population: 30.68% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 129,050 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
