| Communications | HUNGARY |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3.01 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 30 (2014 est.) |
| Telephones - mobile cellular: | total: 11.7 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 118 (2014 est.) |
| Telephone system: | general assessment: modern telephone system is digital and highly automated; trunk services are carried by fiber-optic cable and digital microwave radio relay; a program for fiber-optic subscriber connections was initiated in 1996 |
| Telephone system: | domestic: competition among mobile-cellular service providers has led to a sharp increase in the use of mobile-cellular phones since 2000 and a decrease in the number of fixed-line connections |
| Telephone system: | international: country code - 36; Hungary has fiber-optic cable connections with all neighboring countries; the international switch is in Budapest; satellite earth stations - 2 Intelsat (Atlantic Ocean and Indian Ocean regions), 1 Inmarsat, 1 very small aperture terminal (VSAT) system of ground terminals (2011) |
| Broadcast media: | mixed system of state-supported public service broadcast media and private broadcasters; the 3 publicly owned TV channels and the 2 main privately owned TV stations are the major national broadcasters; a large number of special interest channels; highly developed market for satellite and cable TV services with about two-thirds of viewers utilizing their services; 3 state-supported public-service radio networks and 2 major national commercial stations; a large number of local stations including commercial, public service, nonprofit, and community radio stations; digital transition postponed to the end of 2014 (2007) |
| Radio broadcast stations: | AM 5, FM 90, shortwave 1 (2008) |
| Television broadcast stations: | 95 (2008) |
| Internet country code: | .hu |
| Internet users: | total: 7.4 million |
| Internet users: | percent of population: 74.4% (2014 est.) |
