| Communications | Congo, Republic of the |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,076 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 4,933,529 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 95.34 (2019 est.) |
| Telecommunication systems: | general assessment: primary network consists of microwave radio relay and coaxial cable with services barely adequate for government use; key exchanges are in Brazzaville, Pointe-Noire, and Loubomo; intercity lines frequently out of order; youth are seeking the Internet more than their parents and often gaining access in cyber cafes, only the most affluent have Internet access in their homes (2020) |
| Telecommunication systems: | domestic: fixed-line infrastructure inadequate, providing less than 1 fixed-line connection per 100 persons; in the absence of an adequate fixed-line infrastructure, mobile-cellular subscribership has surged to 95 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 242; WACS submarine cables to Europe and Western and South Africa; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 state-owned TV and 3 state-owned radio stations; several privately owned TV and radio stations; satellite TV service is available; rebroadcasts of several international broadcasters are available |
| Internet country code: | .cg |
| Internet users: | total: 437,865 |
| Internet users: | percent of population: 8.65% (July 2018 est.) |
