| Communications | Marshall Islands |
| --- | --- |
| Telephones - main lines in use: | 4,400 (2008) |
| Telephones - mobile cellular: | 1,000 (2008) |
| Telephone system: | general assessment: digital switching equipment; modern services include telex, cellular, Internet, international calling, caller ID, and leased data circuits |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2005) |
| Radio broadcast stations: | AM 1, FM 3, shortwave 0 (additionally, the American Armed Forces Radio and Television Service (Central Pacific Network) operates one FM and one AM station on Kwajalein Island) (2005) |
| Television broadcast stations: | 2 (both are US military stations; Marshalls Broadcasting Service, a cable company, operates on Majuro) (2005) |
| Internet country code: | .mh |
| Internet hosts: | 6 (2009) |
| Internet users: | 2,200 (2008) |
