| Communications | Marshall Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,172 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4.13 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 21,169 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 27.56 (2019 est.) |
| Telecommunication systems: | general assessment: some telecom infrastructure improvements made in recent years; modern services include fiber optic cable service, cellular, Internet, international calling, caller ID, and leased data circuits;Â the US Government, World Bank, UN and International Telecommunication Union (ITU), have aided inÂ improvements and monetary aid to the islands telecom; mobile penetrations is around 30%; radio communication isÂ especiallyÂ vital to remote islands (2018) |
| Telecommunication systems: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones; fixed-line 4 per 100 persons and mobile-cellular is 28 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | no TV broadcast station; a cable network is available on Majuro with programming via videotape replay and satellite relays; 4 radio broadcast stations; American Armed Forces Radio and Television Service (AFRTS) provides satellite radio and television service to Kwajalein Atoll (2019) |
| Internet country code: | .mh |
| Internet users: | total: 29,290 |
| Internet users: | percent of population: 38.7% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Communications - note: | Kwajalein hosts one of four dedicated ground antennas that assist in the operation of the Global Positioning System (GPS) navigation system (the others are at Cape Canaveral, Florida (US), on Ascension (Saint Helena, Ascension, and Tristan da Cunha), and at Diego Garcia (British Indian Ocean Territory)) |
