| Communications | Marshall Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,361 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 16,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephone system: | general assessment: some telecom infrastructure improvements made in recent years; modern services include telex, cellular, Internet, international calling, caller ID, and leased data circuits (2016) |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones (2016) |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2016) |
| Broadcast media: | no TV broadcast station; a cable network is available on Majuro with programming via videotape replay and satellite relays; 4 radio broadcast stations; American Armed Forces Radio and Television Service (AFRTS) provides satellite radio and television service to Kwajalein Atoll (2009) |
| Internet country code: | .mh |
| Internet users: | total: 21,857 (July 2016 est.) |
| Internet users: | percent of population: 29.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,000 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Communications - note: | Kwajalein hosts one of four dedicated ground antennas that assist in the operation of the Global Positioning System (GPS) navigation system (the others are at Cape Canaveral, Florida (US), on Ascension (Saint Helena, Ascension, and Tristan da Cunha), and at Diego Garcia (British Indian Ocean Territory)) |
