| Communications | Denmark |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,439,695 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 26 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,978,348 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 124 (2017 est.) |
| Telephone system: | general assessment: excellent telephone and Internet services; Denmark's competitive telecom market has led to the country having the second highest broadband penetration rate in Europe;Â the fixed-line sector continues to see a decline in revenue while customers move to VoIP (Voice over Internet Protocol) and mobile alternatives; growth has been stimulated by theÂ availability of LTE services;Â the government is able to offer broadband coverageÂ in rural areas (2018) |
| Telephone system: | domestic: buried and submarine cables and microwave radio relay form trunk network; multiple mobile-cellular communications systems; fixed-line 26 per 100, Â 124 per 100 for mobile-cellular (2018) |
| Telephone system: | international: country code - 45; NSC, COBRAcable, CANTAT-3, DANICE, Havfrue/AEC-2, TAT-14m Denmark-Norway-5 &Â 6, Skagenfiber West &Â East, GC1,Â GC2, GC3, GC-KPN, Kattegat 1 &Â 2 &Â 3, Energinet Lyngsa-Laeso,Â Energinet Laeso-Varberg, Fehmarn Balt, Baltica, German-Denmark 2 & 3, Ronne-Rodvig, Denmark-Sweden 15 & 16 & 17 & 18, IP-Only Denmark-Sweden, ScandinavianÂ South, Scandinavian Ring North, Danica North, 34Â series of fiber-optic submarine cables link Denmark with Canada, Faroe Islands, Germany, Iceland, Netherlands, Norway, Poland, Russia, Sweden, US and UK; satellite earth stations - 18 (6 Intelsat, 10 Eutelsat, 1 Orion, 1 Inmarsat (Blaavand-Atlantic-East)); note - the Nordic countries (Denmark, Finland, Iceland, Norway, and Sweden) share the Danish earth station and the Eik, Norway, station for worldwide Inmarsat access (2019) |
| Broadcast media: | strong public-sector TV presence with state-owned Danmarks Radio (DR) operating 6 channels and publicly owned TV2 operating roughly a half-dozen channels; broadcasts of privately owned stations are available via satellite and cable feed; DR operates 4 nationwide FM radio stations, 10 digital audio broadcasting stations, and 14 web-based radio stations; 140 commercial and 187 community (non-commercial) radio stations (2019) |
| Internet country code: | .dk |
| Internet users: | total: 5,424,169 |
| Internet users: | percent of population: 97% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,475,382 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 44 (2017 est.) |
