| Communications | Denmark |
| --- | --- |
| Telephones - main lines in use: | 2.431 million (2012) |
| Telephones - mobile cellular: | 6.6 million (2012) |
| Telephone system: | general assessment: excellent telephone and telegraph services |
| Telephone system: | domestic: buried and submarine cables and microwave radio relay form trunk network, multiple cellular mobile communications systems |
| Telephone system: | international: country code - 45; a series of fiber-optic submarine cables link Denmark with Canada, Faroe Islands, Germany, Iceland, Netherlands, Norway, Poland, Russia, Sweden, and UK; satellite earth stations - 18 (6 Intelsat, 10 Eutelsat, 1 Orion, 1 Inmarsat (Blaavand-Atlantic-East)); note - the Nordic countries (Denmark, Finland, Iceland, Norway, and Sweden) share the Danish earth station and the Eik, Norway, station for worldwide Inmarsat access (2011) |
| Broadcast media: | strong public-sector TV presence with state-owned Danmarks Radio (DR) operating 4 channels and publicly owned TV2 operating roughly a half dozen channels; broadcasts of privately owned stations are available via satellite and cable feed; DR operates 4 nationwide FM radio stations, 15 digital audio broadcasting stations, and about 15 web-based radio stations; approximately 250 commercial and community radio stations (2007) |
| Internet country code: | .dk |
| Internet hosts: | 4.297 million (2012) |
| Internet users: | 4.75 million (2009) |
