| Communications | DOMINICA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 15,123 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2015 est.) |
| Telephones - mobile cellular: | total: 77,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (July 2015 est.) |
| Telephone system: | general assessment: fully automatic network |
| Telephone system: | domestic: fixed-line connections continued to decline slowly with the two active operators providing about 20 fixed-line connections per 100 persons; subscribership among the three mobile-cellular providers is about 105 per 100 persons |
| Telephone system: | international: country code - 1-767; landing points for the East Caribbean Fiber Optic System (ECFS) and the Global Caribbean Network (GCN) submarine cables providing connectivity to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; microwave radio relay and SHF radiotelephone links to Martinique and Guadeloupe; VHF and UHF radiotelephone links to Saint Lucia (2015) |
| Broadcast media: | no terrestrial TV service available; subscription cable TV provider offers some locally produced programming plus channels from the US, Latin America, and the Caribbean; state-operated radio broadcasts on 6 stations; privately owned radio broadcasts on about 15 stations (2007) |
| Internet country code: | .dm |
| Internet users: | total: 50,000 |
| Internet users: | percent of population: 67.6% (July 2015 est.) |
