| Communications | Dominica |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 13,328 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 78,444 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (July 2016 est.) |
| Telephone system: | general assessment: fully automatic network;Â there are multiple operators licensed to provide services, most of them are small and localized the telecom sector across the Caribbean region remains one of the key growth areas (2018) |
| Telephone system: | domestic: fixed-line connections continued to decline slowly with the two active operators providing about 18 fixed-line connections per 100 persons; subscribership among the three mobile-cellular providers is about 106 per 100 persons (2018) |
| Telephone system: | international: country code - 1-767; landing points for the ECFS and theÂ Southern Caribbean FiberÂ submarine cables providing connectivity to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad and to the US; microwave radio relay and SHF radiotelephone links to Martinique and Guadeloupe; VHF and UHF radiotelephone links to Saint Lucia (2019) |
| Broadcast media: | no terrestrial TV service available; subscription cable TV provider offers some locally produced programming plus channels from the US, Latin America, and the Caribbean; state-operated radio broadcasts on 6 stations; privately owned radio broadcasts on about 15 stations (2019) |
| Internet country code: | .dm |
| Internet users: | total: 49,439 |
| Internet users: | percent of population: 67% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 15,487 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 21 (2017 est.) |
