| Communications | Botswana |
| --- | --- |
| Telephones - main lines in use: | 142,300 (2008) |
| Telephones - mobile cellular: | 1.486 million (2008) |
| Telephone system: | general assessment: the system is expanding with the growth of mobile-cellular service and participation in regional development; system is fully digital with fiber-optic cables linking the major population centers in the east; fixed-line connections declined in recent years and now stand at roughly 8 per 100 persons; mobile-cellular telephone density currently is about 80 per 100 persons |
| Telephone system: | domestic: small system of open-wire lines, microwave radio relay links, and a few radiotelephone communication stations; mobile-cellular service is growing fast |
| Telephone system: | international: country code - 267; international calls are made via satellite, using international direct dialing; 2 international exchanges; digital microwave radio relay links to Namibia, Zambia, Zimbabwe, and South Africa; satellite earth station - 1 Intelsat (Indian Ocean) (2008) |
| Radio broadcast stations: | AM 8, FM 13, shortwave 4 (2001) |
| Television broadcast stations: | 2 (1 state-owned, 1 private) |
| Internet country code: | .bw |
| Internet hosts: | 7,341 (2009) |
| Internet users: | 120,000 (2008) |
