| Communications |
| --- | --- |
| Telephones - main lines in use: | 500,000 (2000) |
| Telephones - mobile cellular: | 26,700 (1997) |
| Telephone system: | general assessment: an inadequate system, further limited by poor maintenance; major expansion is required and a start has been made |
| Telephone system: | domestic: intercity traffic is carried by coaxial cable, microwave radio relay, a domestic communications satellite system with 19 earth stations, and a coastal submarine cable; mobile cellular facilities and the Internet are available |
| Telephone system: | international: satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean); coaxial submarine cable SAFE (South African Far East) |
| Radio broadcast stations: | AM 82, FM 35, shortwave 11 (1998) |
| Radios: | 23.5 million (1997) |
| Television broadcast stations: | 2 government-controlled; note - in addition, in 1993, 14 licenses to operate private television stations were granted (1999) |
| Televisions: | 6.9 million (1997) |
| Internet country code: | .ng |
| Internet Service Providers (ISPs): | 11 (2000) |
| Internet users: | 100,000 (2000) |
