| Communications | Syria |
| --- | --- |
| Telephones - main lines in use: | 4.069 million (2010) |
| Telephones - mobile cellular: | 11.696 million (2010) |
| Telephone system: | general assessment: fair system currently undergoing significant improvement and digital upgrades, including fiber-optic technology and expansion of the network to rural areas |
| Telephone system: | domestic: the number of fixed-line connections has increased markedly since 2000; mobile-cellular service growing with telephone subscribership reaching nearly 50 per 100 persons in 2009 |
| Telephone system: | international: country code - 963; submarine cable connection to Egypt, Lebanon, and Cyprus; satellite earth stations - 1 Intelsat (Indian Ocean) and 1 Intersputnik (Atlantic Ocean region); coaxial cable and microwave radio relay to Iraq, Jordan, Lebanon, and Turkey; participant in Medarabtel |
| Broadcast media: | state-run television and radio broadcast networks; state operates 2 TV networks and a satellite channel; roughly two-thirds of Syrian homes have a satellite dish providing access to foreign TV broadcasts; 3 state-run radio channels; first private radio station launched in 2005; private radio broadcasters prohibited from transmitting news or political content (2007) |
| Internet country code: | .sy |
| Internet hosts: | 8,114 (2010) |
| Internet users: | 4.469 million (2009) |
