| Communications | Syria |
| --- | --- |
| Telephones - main lines in use: | 4.425 million (2012) |
| Telephones - mobile cellular: | 12.928 million (2012) |
| Telephone system: | general assessment: fair system currently undergoing significant improvement and digital upgrades, including fiber-optic technology and expansion of the network to rural areas; the armed insurgency that began in 2011 has led to major disruptions to the network and has caused telephone and Internet outages throughout the country |
| Telephone system: | domestic: the number of fixed-line connections has increased markedly since 2000; mobile-cellular service growing with telephone subscribership nearly 60 per 100 persons in 2011 |
| Telephone system: | international: country code - 963; submarine cable connection to Egypt, Lebanon, and Cyprus; satellite earth stations - 1 Intelsat (Indian Ocean) and 1 Intersputnik (Atlantic Ocean region); coaxial cable and microwave radio relay to Iraq, Jordan, Lebanon, and Turkey; participant in Medarabtel (2011) |
| Broadcast media: | state-run TV and radio broadcast networks; state operates 2 TV networks and a satellite channel; roughly two-thirds of Syrian homes have a satellite dish providing access to foreign TV broadcasts; 3 state-run radio channels; first private radio station launched in 2005; private radio broadcasters prohibited from transmitting news or political content (2007) |
| Internet country code: | .sy |
| Internet hosts: | 416 (2012) |
| Internet users: | 4.469 million (2009) |
