| Communications | Guatemala |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,461,109 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 19,986,482 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129 (2017 est.) |
| Telephone system: | general assessment: fairly modern network centered in the city of Guatemala; one of the lowest teledensities in the region especially in the country; state-owned telecommunications company privatized in the late 1990s opened the way for competition; steady improvement of fixed-line which has also spurred growth in mobile-cellular and broadband; open regulatory framework coupled withÂ competion and greater disposable household revenue spurs growth (2018) |
| Telephone system: | domestic: fixed-line teledensity roughlyÂ 15 per 100 persons; fixed-line investments are being concentrated on improving rural connectivity; mobile-cellular teledensity about 129 per 100 persons (2018) |
| Telephone system: | international: country code - 502; landing points forÂ the ARCOS, AMX-1, American Movil-TexiusÂ West Coast Cable and the SAm-1 fiber-optic submarine cable system that, together, provide connectivity to South and Central America, parts of the Caribbean, and the US; connected to Central American Microwave System; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 4 privately owned national terrestrial TV channels dominate TV broadcasting; multi-channel satellite and cable services are available; 1 government-owned radio station and hundreds of privately owned radio stations (2019) |
| Internet country code: | .gt |
| Internet users: | total: 5,241,952 |
| Internet users: | percent of population: 34.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 506,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
