| Communications | GUATEMALA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.675 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (July 2016 est.) |
| Telephones - mobile cellular: | total: 19,208,673 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2016 est.) |
| Telephone system: | general assessment: fairly modern network centered in the city of Guatemala |
| Telephone system: | domestic: state-owned telecommunications company privatized in the late 1990s opened the way for competition; fixed-line teledensity roughly 10 per 100 persons; fixed-line investments are being concentrated on improving rural connectivity; mobile-cellular teledensity about 125 per 100 persons |
| Telephone system: | international: country code - 502; landing point for both the Americas Region Caribbean Ring System (ARCOS-1) and the SAM-1 fiber-optic submarine cable system that, together, provide connectivity to South and Central America, parts of the Caribbean, and the US; connected to Central American Microwave System; satellite earth station - 1 Intelsat (Atlantic Ocean) (2017) |
| Broadcast media: | 4 privately owned national terrestrial TV channels dominate TV broadcasting; multi-channel satellite and cable services are available; 1 government-owned radio station and hundreds of privately owned radio stations (2007) |
| Internet country code: | .gt |
| Internet users: | total: 5,241,952 |
| Internet users: | percent of population: 34.5% (July 2016 est.) |
